contractingofficeagencyid,dollarsobligated,fiscal_year,mod_parent,piid,productorservicecode,vendorname
SOCIAL SECURITY ADMINISTRATION,15894,2016,AMERICAN MEDICAL ASSOCIATION,SS001650020,D317: IT AND TELECOM- WEB-BASED SUBSCRIPTION,AMERICAN MEDICAL ASSOCIATION
BUREAU OF INDIAN AFFAIRS,19025.8,2016,CLOSE UP FOUNDATION,INA16PX00048,U009: EDUCATION/TRAINING- GENERAL,CLOSE UP FOUNDATION
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0,2016,THE MITRE CORPORATION,DOCSB134114CQ0010,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,THE MITRE CORPORATION
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,39600,2016,UNIVERSITY OF TEXAS AT AUSTIN,DOCSB134116AE0009,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1891816,2016,THE MITRE CORPORATION,DOC16044,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,THE MITRE CORPORATION
BUREAU OF OCEAN ENERGY MANAGEMENT,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,INM15PX00053,B529: SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,UNIVERSITY OF TEXAS AT AUSTIN
CENTERS FOR DISEASE CONTROL AND PREVENTION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,HHSD2002014M60693P,B506: SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),UNIVERSITY OF TEXAS AT AUSTIN
DEPT OF THE NAVY,5400000,2016,DYNCORP INTERNATIONAL LLC,N0042116C0016,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,12442.5,2016,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",N6809316P0128,6505: DRUGS AND BIOLOGICALS,"DUKE UNIVERSITY HEALTH SYSTEM, INC."
DEPT OF THE NAVY,0,2016,UNIVERSITY OF SOUTHERN CALIFORNIA INCORPORATED,N0014006G0072,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF SOUTHERN CALIFORNIA INCORPORATED
DEPT OF THE NAVY,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,0014,AD92: R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0678,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0611,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LLC,N0003311C3100,"J058: MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,37895.729999999996,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,8EJ8,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,UNIVERSITY OF SOUTHERN CALIFORNIA
DEPT OF THE NAVY,9549.6,2016,MOBIL OIL GUAM INC,0568,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9549.6,2016,CNA CORPORATION,0568,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0637,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,17008.989999999998,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,8EJ9,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,UNIVERSITY OF SOUTHERN CALIFORNIA
DEPT OF THE NAVY,10198286.15,2016,DYNCORP INTERNATIONAL LLC,0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,10198286.15,2016,"CENTERRA GROUP, LLC",0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,"CENTERRA GROUP, LLC"
DEPT OF THE NAVY,10198286.15,2016,EXXON MOBIL CORPORATION,0001,Z1JZ: MAINTENANCE OF MISCELLANEOUS BUILDINGS,EXXON MOBIL CORPORATION
DEPT OF THE NAVY,100845.2,2016,MOBIL OIL GUAM INC,0583,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,100845.2,2016,CNA CORPORATION,0583,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0338,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8895,2016,MOBIL OIL GUAM INC,0554,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8895,2016,CNA CORPORATION,0554,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,-9357.49,2016,MOBIL OIL GUAM INC,0467,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,-9357.49,2016,CNA CORPORATION,0467,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0615,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0638,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8104.37,2016,MOBIL OIL GUAM INC,0489,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8104.37,2016,CNA CORPORATION,0489,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0165,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,7688,2016,MOBIL OIL GUAM INC,0556,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,7688,2016,CNA CORPORATION,0556,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LLC,N0001915D0001,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LLC,N6274212C3525,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-2924.52,2016,CNA CORPORATION,0092,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,-22261,2016,DYNCORP INTERNATIONAL LLC,0020,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,9548.4,2016,MOBIL OIL GUAM INC,0501,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9548.4,2016,CNA CORPORATION,0501,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8553,2016,MOBIL OIL GUAM INC,0504,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8553,2016,CNA CORPORATION,0504,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0640,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8944.27,2016,MOBIL OIL GUAM INC,0521,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8944.27,2016,CNA CORPORATION,0521,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,5948.150000000001,2016,MOBIL OIL GUAM INC,0508,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,5948.150000000001,2016,CNA CORPORATION,0508,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0503,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8553,2016,MOBIL OIL GUAM INC,0505,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8553,2016,CNA CORPORATION,0505,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8184,2016,MOBIL OIL GUAM INC,0500,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8184,2016,CNA CORPORATION,0500,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,9202.08,2016,EXXON MOBIL CORPORATION,MCK1,9140: FUEL OILS,EXXON MOBIL CORPORATION
DEPT OF THE NAVY,21382.5,2016,MOBIL OIL GUAM INC,0507,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,21382.5,2016,CNA CORPORATION,0507,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,N0001411D0323,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126),0002,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126)
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LLC,0002,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,0,2016,JOHNS HOPKINS UNIVERSITY,0002,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,JOHNS HOPKINS UNIVERSITY
DEPT OF THE NAVY,0,2016,"CENTERRA GROUP, LLC",0002,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,"CENTERRA GROUP, LLC"
DEPT OF THE NAVY,9295.2,2016,MOBIL OIL GUAM INC,0524,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9295.2,2016,CNA CORPORATION,0524,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,71275,2016,MOBIL OIL GUAM INC,0509,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,71275,2016,CNA CORPORATION,0509,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,57510,2016,MOBIL OIL GUAM INC,0506,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,57510,2016,CNA CORPORATION,0506,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,23238,2016,MOBIL OIL GUAM INC,0520,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,23238,2016,CNA CORPORATION,0520,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8003.799999999999,2016,MOBIL OIL GUAM INC,0523,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8003.799999999999,2016,CNA CORPORATION,0523,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,10003.8,2016,MOBIL OIL GUAM INC,0525,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,10003.8,2016,CNA CORPORATION,0525,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,9304.2,2016,MOBIL OIL GUAM INC,0514,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9304.2,2016,CNA CORPORATION,0514,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,21033.6,2016,MOBIL OIL GUAM INC,0513,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,21033.6,2016,CNA CORPORATION,0513,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,20338670,2016,DYNCORP INTERNATIONAL LLC,N0042111C0033,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,21012.6,2016,MOBIL OIL GUAM INC,0526,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,21012.6,2016,CNA CORPORATION,0526,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,59162.4,2016,MOBIL OIL GUAM INC,0519,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,59162.4,2016,CNA CORPORATION,0519,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,10130.4,2016,MOBIL OIL GUAM INC,0512,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,10130.4,2016,CNA CORPORATION,0512,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,9304.2,2016,MOBIL OIL GUAM INC,0511,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9304.2,2016,CNA CORPORATION,0511,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,4804.560000000001,2016,DYNCORP INTERNATIONAL LLC,0024,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,4804.560000000001,2016,"CENTERRA GROUP, LLC",0024,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,"CENTERRA GROUP, LLC"
DEPT OF THE NAVY,8988,2016,MOBIL OIL GUAM INC,0565,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8988,2016,CNA CORPORATION,0565,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0621,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,220000,2016,CNA CORPORATION,0666,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,10130.4,2016,MOBIL OIL GUAM INC,0510,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,10130.4,2016,CNA CORPORATION,0510,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,210000,2016,CNA CORPORATION,0664,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,309400,2016,CNA CORPORATION,0663,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,132600,2016,CNA CORPORATION,0662,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,292600,2016,CNA CORPORATION,0655,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0617,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,283500,2016,CNA CORPORATION,0661,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,1525.89,2016,MOBIL OIL GUAM INC,0482,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,1525.89,2016,CNA CORPORATION,0482,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,94937.75,2016,MOBIL OIL GUAM INC,0494,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,94937.75,2016,CNA CORPORATION,0494,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,N6600110C2018,AZ11: R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
DEPT OF THE NAVY,113787.48,2016,MOBIL OIL GUAM INC,0496,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,113787.48,2016,CNA CORPORATION,0496,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,281032.8,2016,HOWARD UNIVERSITY,8E89,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,HOWARD UNIVERSITY
DEPT OF THE NAVY,346000,2016,CNA CORPORATION,0674,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0332,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,-5513.46,2016,DYNCORP INTERNATIONAL LLC,0025,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,22470,2016,MOBIL OIL GUAM INC,0560,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,22470,2016,CNA CORPORATION,0560,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8895,2016,MOBIL OIL GUAM INC,0551,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8895,2016,CNA CORPORATION,0551,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,74900,2016,MOBIL OIL GUAM INC,0561,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,74900,2016,CNA CORPORATION,0561,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0641,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,171239.88,2016,DUKE UNIVERSITY,8EF2,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,DUKE UNIVERSITY
DEPT OF THE NAVY,140000,2016,MOBIL OIL GUAM INC,0576,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,140000,2016,CNA CORPORATION,0576,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,20923.5,2016,MOBIL OIL GUAM INC,0442,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,20923.5,2016,CNA CORPORATION,0442,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0606,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,400000,2016,CNA CORPORATION,0670,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,-24960,2016,UNIVERSITY OF SOUTHERN CALIFOR,0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,UNIVERSITY OF SOUTHERN CALIFOR
DEPT OF THE NAVY,-24960,2016,DYNCORP INTERNATIONAL LLC,0027,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-21091.8,2016,DYNCORP INTERNATIONAL LLC,0028,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-981.74,2016,DYNCORP INTERNATIONAL LLC,0033,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,211500,2016,CNA CORPORATION,0652,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,394800,2016,CNA CORPORATION,0653,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,271800,2016,CNA CORPORATION,0658,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,-67376,2016,CNA CORPORATION,0651,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,21500,2016,CNA CORPORATION,0660,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,10003.8,2016,MOBIL OIL GUAM INC,0515,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,10003.8,2016,CNA CORPORATION,0515,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8369.4,2016,MOBIL OIL GUAM INC,0468,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8369.4,2016,CNA CORPORATION,0468,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,369550,2016,CNA CORPORATION,0650,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0614,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0179,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,249834,2016,ALCOA INC.,N0016716P0015,H220: EQUIPMENT AND MATERIALS TESTING- SHIP AND MARINE EQUIPMENT,ALCOA INC.
DEPT OF THE NAVY,187968,2016,CNA CORPORATION,0656,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,317100,2016,CNA CORPORATION,0659,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,438592,2016,CNA CORPORATION,0657,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,45225.009999999995,2016,MOBIL OIL GUAM INC,0459,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,45225.009999999995,2016,CNA CORPORATION,0459,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,250800,2016,CNA CORPORATION,0654,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0682,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,CNA CORPORATION,0677,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,AMERICAN MEDICAL ASSOCIATION,N6523616P0102,7030: INFORMATION TECHNOLOGY SOFTWARE,AMERICAN MEDICAL ASSOCIATION
DEPT OF THE NAVY,-14215.2,2016,DYNCORP INTERNATIONAL LLC,0022,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,-20280.58,2016,DYNCORP INTERNATIONAL LLC,0023,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,9926.85,2016,MOBIL OIL GUAM INC,0431,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,9926.85,2016,CNA CORPORATION,0431,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,-9916.8,2016,DYNCORP INTERNATIONAL LLC,0021,S216: HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,100000,2016,CNA CORPORATION,0667,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,0,2016,DYNCORP INTERNATIONAL LLC,N0001915D0003,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
DEPT OF THE NAVY,122742,2016,CNA CORPORATION,0668,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,2607.76,2016,MOBIL OIL GUAM INC,0465,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,2607.76,2016,CNA CORPORATION,0465,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,1108000,2016,CNA CORPORATION,0665,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,440800,2016,CNA CORPORATION,0669,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
DEPT OF THE NAVY,8184,2016,MOBIL OIL GUAM INC,0502,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,MOBIL OIL GUAM INC
DEPT OF THE NAVY,8184,2016,CNA CORPORATION,0502,B541: SPECIAL STUDIES/ANALYSIS- DEFENSE,CNA CORPORATION
